h8f7,3.64586,2;
e1e2,0.000900897,2;
b7b3,2.67637,2;
a6b7,6.5529,2;
g4d4,2.89603,2;
Avg time,3.154412,6;
h8f7,3.60221,4;
e1e2,0.000923377,4;
b7b3,2.0882,4;
a6b7,5.11544,4;
g4d4,2.36647,4;
Avg time,2.674976,6;
h8f7,3.58864,8;
e1e2,0.00132807,8;
b7b3,1.96463,8;
a6b7,5.11484,8;
g4d4,2.10257,8;
Avg time,2.502458,6;
h8f7,4.45613,12;
e1e2,0.00131944,12;
b7b3,2.30413,12;
a6b7,5.50364,12;
g4d4,2.879,12;
Avg time,2.507438,6;
h8f7,4.83503,16;
e1e2,0.00135171,16;
b7b3,2.33943,16;
a6b7,5.2306,16;
g4d4,2.82279,16;
Avg time,2.513031,6;
h8f7,5.11452,24;
e1e2,0.0013287,24;
b7b3,2.4588,24;
a6b7,5.49589,24;
g4d4,2.48269,24;
Avg time,2.524907,6;
h8f7,4.52705,32;
e1e2,0.00133032,32;
b7b3,2.87678,32;
a6b7,6.68867,32;
g4d4,3.31938,32;
Avg time,2.573072,6;
h8f7,5.94699,64;
e1e2,0.000920657,64;
b7b3,3.98347,64;
a6b7,7.60972,64;
g4d4,3.88726,64;
Avg time,2.683997,6;
h8f7,7.28609,96;
e1e2,0.00132578,96;
b7b3,4.79845,96;
a6b7,9.17989,96;
g4d4,4.83799,96;
Avg time,2.847927,6;
